=== [Causal Discovery] Fold 5 (5/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/metadata.json
CI(0, 1 | ()) p=0.8756 -> indep=True
CI(4, 10 | ()) p=0.8405 -> indep=True
CI(5, 10 | ()) p=0.6487 -> indep=True
CI(6, 10 | ()) p=0.0679 -> indep=True
CI(7, 10 | ()) p=2.378e-05 -> indep=False
CI(8, 10 | ()) p=0.001997 -> indep=False
CI(9, 10 | ()) p=0.464 -> indep=True
CI(0, 11 | ()) p=0.7709 -> indep=True
CI(1, 11 | ()) p=0.7281 -> indep=True
CI(2, 11 | ()) p=0.5271 -> indep=True
CI(3, 11 | ()) p=0.8672 -> indep=True
CI(4, 11 | ()) p=3.873e-05 -> indep=False
CI(5, 11 | ()) p=0.631 -> indep=True
CI(6, 11 | ()) p=0.4042 -> indep=True
CI(7, 11 | ()) p=0.004548 -> indep=False
CI(8, 11 | ()) p=0.001905 -> indep=False
CI(9, 11 | ()) p=0.1443 -> indep=True
CI(10, 11 | ()) p=0.01175 -> indep=True
CI(1, 6 | (5,)) p=3.416e-07 -> indep=False
CI(5, 6 | (1,)) p=0.0004048 -> indep=False
CI(2, 7 | (3,)) p=0.004993 -> indep=False
CI(2, 7 | (6,)) p=0.001002 -> indep=False
CI(3, 7 | (2,)) p=0.002122 -> indep=False
CI(3, 7 | (6,)) p=0.0001387 -> indep=False
CI(6, 7 | (2,)) p=7.169e-06 -> indep=False
CI(6, 7 | (3,)) p=7.544e-07 -> indep=False
CI(2, 10 | (8,)) p=0.0009444 -> indep=False
CI(2, 10 | (7,)) p=0.01432 -> indep=True
CI(7, 10 | (8,)) p=0.0006446 -> indep=False
CI(8, 10 | (7,)) p=0.27 -> indep=True
CI(4, 11 | (8,)) p=2.996e-08 -> indep=False
CI(4, 11 | (7,)) p=8.525e-08 -> indep=False
CI(7, 11 | (8,)) p=0.03207 -> indep=True
CI(8, 11 | (4,)) p=1.816e-05 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/pag_vs_pag_metrics.json
Found 14 differences:
  1. Missing: 0 --- 5 (DAG: directed_ij)
  2. Missing: 1 --- 6 (DAG: directed_ij)
  3. Missing: 2 --- 7 (DAG: directed_ij)
  4. Missing: 3 --- 8 (DAG: directed_ij)
  5. Extra: 4 --- 6 (PAG: bidirected)
  6. Wrong orientation: 4 --- 11 (DAG: directed_ij, PAG: bidirected)
  7. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  8. Missing: 5 --- 9 (DAG: directed_ij)
  9. Extra: 5 --- 10 (PAG: bidirected)
  10. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  11. Extra: 6 --- 9 (PAG: bidirected)
  12. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 8 --- 11 (DAG: directed_ij, PAG: bidirected)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 9 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 2 --- 10 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 3 --- 7 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/edge_comparison.txt
Found 12 differences:
  1. Extra: 0 --- 2 (PAG: bidirected)
  2. Wrong orientation: 0 --- 5 (DAG: directed_ij, PAG: bidirected)
  3. Missing: 0 --- 9 (DAG: directed_ij)
  4. Missing: 1 --- 5 (DAG: directed_ij)
  5. Wrong orientation: 2 --- 7 (DAG: directed_ij, PAG: bidirected)
  6. Missing: 2 --- 10 (DAG: directed_ij)
  7. Missing: 3 --- 8 (DAG: directed_ij)
  8. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  9. Missing: 5 --- 9 (DAG: directed_ij)
  10. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
Found 3 partial orientation differences:
  1. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 3 --- 7 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/edge_comparison_baseline.txt
Found 11 differences:
  1. Missing: 0 --- 2 (Reference PAG: bidirected)
  2. Missing: 0 --- 5 (Reference PAG: bidirected)
  3. Extra: 0 --- 9 (PAG: partial_ij)
  4. Extra: 1 --- 5 (PAG: partial_ij)
  5. Missing: 1 --- 6 (Reference PAG: partial_ij)
  6. Missing: 2 --- 7 (Reference PAG: bidirected)
  7. Extra: 2 --- 10 (PAG: partial_ij)
  8. Extra: 4 --- 6 (PAG: bidirected)
  9. Extra: 5 --- 10 (PAG: bidirected)
  10. Extra: 6 --- 9 (PAG: bidirected)
  11. Wrong orientation: 8 --- 11 (Reference PAG: directed_ij, PAG: bidirected)
Found 1 partial orientation differences:
  1. Partial orientation: 4 --- 11 (Reference PAG: partial_ij, PAG: bidirected)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/5/baseline_graph_adj.npy
