=== [Causal Discovery] Fold 1 (1/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/metadata.json
CI(0, 1 | ()) p=0.4848 -> indep=True
CI(1, 11 | ()) p=0.2956 -> indep=True
CI(2, 11 | ()) p=0.6028 -> indep=True
CI(3, 11 | ()) p=0.06084 -> indep=True
CI(4, 11 | ()) p=0.5666 -> indep=True
CI(5, 11 | ()) p=0.01795 -> indep=True
CI(6, 11 | ()) p=0 -> indep=False
CI(7, 11 | ()) p=0.0001262 -> indep=False
CI(8, 11 | ()) p=0.02518 -> indep=True
CI(9, 11 | ()) p=0.09236 -> indep=True
CI(10, 11 | ()) p=0.002072 -> indep=False
CI(0, 12 | ()) p=0.2325 -> indep=True
CI(1, 12 | ()) p=0.003006 -> indep=False
CI(2, 12 | ()) p=0.4181 -> indep=True
CI(3, 12 | ()) p=0 -> indep=False
CI(4, 12 | ()) p=0.02783 -> indep=True
CI(5, 12 | ()) p=0.7106 -> indep=True
CI(6, 12 | ()) p=0.003328 -> indep=False
CI(7, 12 | ()) p=2.806e-05 -> indep=False
CI(8, 12 | ()) p=0 -> indep=False
CI(9, 12 | ()) p=0.2909 -> indep=True
CI(10, 12 | ()) p=0.03242 -> indep=True
CI(11, 12 | ()) p=0.1472 -> indep=True
CI(0, 13 | ()) p=0.2249 -> indep=True
CI(1, 13 | ()) p=0.6697 -> indep=True
CI(2, 13 | ()) p=0.5977 -> indep=True
CI(3, 13 | ()) p=0.2921 -> indep=True
CI(4, 13 | ()) p=0.03134 -> indep=True
CI(5, 13 | ()) p=0 -> indep=False
CI(6, 13 | ()) p=0.1203 -> indep=True
CI(7, 13 | ()) p=0.2287 -> indep=True
CI(8, 13 | ()) p=0.1747 -> indep=True
CI(9, 13 | ()) p=0.03197 -> indep=True
CI(10, 13 | ()) p=0.4362 -> indep=True
CI(11, 13 | ()) p=0.002445 -> indep=False
CI(12, 13 | ()) p=0.4382 -> indep=True
CI(0, 6 | (1,)) p=0 -> indep=False
CI(0, 6 | (3,)) p=1.11e-16 -> indep=False
CI(1, 6 | (0,)) p=7.411e-07 -> indep=False
CI(1, 6 | (3,)) p=5.269e-05 -> indep=False
CI(3, 6 | (0,)) p=0.01691 -> indep=True
CI(1, 7 | (6,)) p=0.0377 -> indep=True
CI(3, 9 | (8,)) p=2.12e-07 -> indep=False
CI(8, 9 | (3,)) p=3.162e-06 -> indep=False
CI(5, 10 | (9,)) p=0.0009187 -> indep=False
CI(9, 10 | (5,)) p=9.671e-10 -> indep=False
CI(0, 11 | (10,)) p=0 -> indep=False
CI(0, 11 | (6,)) p=6.513e-05 -> indep=False
CI(0, 11 | (7,)) p=0 -> indep=False
CI(6, 11 | (0,)) p=1.47e-12 -> indep=False
CI(6, 11 | (10,)) p=0 -> indep=False
CI(6, 11 | (7,)) p=0 -> indep=False
CI(7, 11 | (0,)) p=0.01831 -> indep=True
CI(10, 11 | (0,)) p=0.0007537 -> indep=False
CI(10, 11 | (6,)) p=5.943e-06 -> indep=False
CI(1, 12 | (8,)) p=0.1691 -> indep=True
CI(3, 12 | (8,)) p=0 -> indep=False
CI(3, 12 | (6,)) p=0 -> indep=False
CI(3, 12 | (7,)) p=0 -> indep=False
CI(6, 12 | (8,)) p=0.0186 -> indep=True
CI(7, 12 | (8,)) p=0.2735 -> indep=True
CI(8, 12 | (3,)) p=0 -> indep=False
CI(5, 13 | (11,)) p=0 -> indep=False
CI(11, 13 | (5,)) p=0.1936 -> indep=True
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/learned_graph_adj.npy
CI(0, 1 | ()) p=0.8052 -> indep=True
CI(0, 2 | ()) p=0.7196 -> indep=True
CI(1, 2 | ()) p=0.4917 -> indep=True
CI(0, 3 | ()) p=0.6543 -> indep=True
CI(1, 3 | ()) p=0.1514 -> indep=True
CI(2, 3 | ()) p=0.1453 -> indep=True
CI(0, 4 | ()) p=0.1372 -> indep=True
CI(1, 4 | ()) p=0.001771 -> indep=False
CI(2, 4 | ()) p=0.03135 -> indep=True
CI(3, 4 | ()) p=0.3403 -> indep=True
CI(0, 5 | ()) p=0.2805 -> indep=True
CI(1, 5 | ()) p=0.5438 -> indep=True
CI(2, 5 | ()) p=0.703 -> indep=True
CI(3, 5 | ()) p=0.6835 -> indep=True
CI(4, 5 | ()) p=0.7808 -> indep=True
CI(0, 6 | ()) p=1.696e-09 -> indep=False
CI(1, 6 | ()) p=0.2163 -> indep=True
CI(2, 6 | ()) p=0.4097 -> indep=True
CI(3, 6 | ()) p=0.2222 -> indep=True
CI(4, 6 | ()) p=0.298 -> indep=True
CI(5, 6 | ()) p=0.08288 -> indep=True
CI(0, 7 | ()) p=0.03587 -> indep=True
CI(1, 7 | ()) p=0.002841 -> indep=False
CI(2, 7 | ()) p=0.607 -> indep=True
CI(3, 7 | ()) p=0.7727 -> indep=True
CI(4, 7 | ()) p=0.04288 -> indep=True
CI(5, 7 | ()) p=0.1925 -> indep=True
CI(6, 7 | ()) p=9.672e-05 -> indep=False
CI(0, 8 | ()) p=0.02188 -> indep=True
CI(1, 8 | ()) p=0.05101 -> indep=True
CI(2, 8 | ()) p=0.004222 -> indep=False
CI(3, 8 | ()) p=0.506 -> indep=True
CI(4, 8 | ()) p=0.5433 -> indep=True
CI(5, 8 | ()) p=0.4128 -> indep=True
CI(6, 8 | ()) p=0.03439 -> indep=True
CI(7, 8 | ()) p=3.931e-10 -> indep=False
CI(0, 9 | ()) p=0.7125 -> indep=True
CI(1, 9 | ()) p=0.1799 -> indep=True
CI(2, 9 | ()) p=0.2686 -> indep=True
CI(3, 9 | ()) p=0.0003828 -> indep=False
CI(4, 9 | ()) p=0.08605 -> indep=True
CI(5, 9 | ()) p=0.9592 -> indep=True
CI(6, 9 | ()) p=0.2172 -> indep=True
CI(7, 9 | ()) p=0.05255 -> indep=True
CI(8, 9 | ()) p=2.464e-05 -> indep=False
CI(0, 10 | ()) p=0.6292 -> indep=True
CI(1, 10 | ()) p=0.5245 -> indep=True
CI(2, 10 | ()) p=0.9355 -> indep=True
CI(3, 10 | ()) p=0.01021 -> indep=True
CI(4, 10 | ()) p=0.007695 -> indep=False
CI(5, 10 | ()) p=0.3855 -> indep=True
CI(6, 10 | ()) p=0.6437 -> indep=True
CI(7, 10 | ()) p=0.8221 -> indep=True
CI(8, 10 | ()) p=0.4377 -> indep=True
CI(9, 10 | ()) p=0.0004404 -> indep=False
CI(0, 11 | ()) p=0.006394 -> indep=False
CI(1, 11 | ()) p=0.1599 -> indep=True
CI(2, 11 | ()) p=0.001736 -> indep=False
CI(3, 11 | ()) p=0.8656 -> indep=True
CI(4, 11 | ()) p=0.131 -> indep=True
CI(5, 11 | ()) p=0.6952 -> indep=True
CI(6, 11 | ()) p=4.148e-07 -> indep=False
CI(7, 11 | ()) p=0.5923 -> indep=True
CI(8, 11 | ()) p=0.1456 -> indep=True
CI(9, 11 | ()) p=0.3645 -> indep=True
CI(10, 11 | ()) p=0.8162 -> indep=True
CI(0, 12 | ()) p=0.1304 -> indep=True
CI(1, 12 | ()) p=0.7814 -> indep=True
CI(2, 12 | ()) p=0.2 -> indep=True
CI(3, 12 | ()) p=4.512e-05 -> indep=False
CI(4, 12 | ()) p=0.7991 -> indep=True
CI(5, 12 | ()) p=0.4303 -> indep=True
CI(6, 12 | ()) p=0.8156 -> indep=True
CI(7, 12 | ()) p=0.02676 -> indep=True
CI(8, 12 | ()) p=1.903e-11 -> indep=False
CI(9, 12 | ()) p=0.8972 -> indep=True
CI(10, 12 | ()) p=0.6263 -> indep=True
CI(11, 12 | ()) p=0.5597 -> indep=True
CI(0, 13 | ()) p=0.673 -> indep=True
CI(1, 13 | ()) p=0.8048 -> indep=True
CI(2, 13 | ()) p=0.2714 -> indep=True
CI(3, 13 | ()) p=0.5758 -> indep=True
CI(4, 13 | ()) p=0.4303 -> indep=True
CI(5, 13 | ()) p=2.915e-09 -> indep=False
CI(6, 13 | ()) p=0.7885 -> indep=True
CI(7, 13 | ()) p=0.2046 -> indep=True
CI(8, 13 | ()) p=0.7069 -> indep=True
CI(9, 13 | ()) p=0.3373 -> indep=True
CI(10, 13 | ()) p=0.5363 -> indep=True
CI(11, 13 | ()) p=0.5711 -> indep=True
CI(12, 13 | ()) p=0.2972 -> indep=True
CI(1, 7 | (6,)) p=0.006056 -> indep=False
CI(6, 7 | (1,)) p=0.0002586 -> indep=False
CI(2, 8 | (7,)) p=0.001604 -> indep=False
CI(7, 8 | (2,)) p=1.328e-11 -> indep=False
CI(3, 9 | (8,)) p=1.5e-08 -> indep=False
CI(8, 9 | (3,)) p=3.388e-07 -> indep=False
CI(4, 10 | (9,)) p=0.01486 -> indep=True
CI(0, 11 | (2,)) p=0.001741 -> indep=False
CI(0, 11 | (6,)) p=0.1562 -> indep=True
CI(2, 11 | (6,)) p=0.002628 -> indep=False
CI(6, 11 | (2,)) p=1.597e-07 -> indep=False
CI(3, 12 | (8,)) p=0.0001052 -> indep=False
CI(8, 12 | (3,)) p=5.428e-11 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/pag_vs_pag_metrics.json
Found 16 differences:
  1. Missing: 1 --- 7 (DAG: directed_ij)
  2. Missing: 2 --- 8 (DAG: directed_ij)
  3. Missing: 3 --- 8 (DAG: directed_ij)
  4. Wrong orientation: 3 --- 9 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 3 --- 12 (DAG: directed_ij, PAG: bidirected)
  6. Missing: 4 --- 10 (DAG: directed_ij)
  7. Wrong orientation: 5 --- 10 (DAG: directed_ij, PAG: bidirected)
  8. Wrong orientation: 5 --- 13 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  10. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  11. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  12. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
  15. Extra: 10 --- 11 (PAG: bidirected)
  16. Missing: 10 --- 13 (DAG: directed_ij)
Found 3 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 11 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/edge_comparison.txt
Found 18 differences:
  1. Missing: 0 --- 11 (DAG: directed_ij)
  2. Extra: 1 --- 4 (PAG: bidirected)
  3. Missing: 1 --- 6 (DAG: directed_ij)
  4. Wrong orientation: 1 --- 7 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 2 --- 8 (DAG: directed_ij, PAG: bidirected)
  6. Extra: 2 --- 11 (PAG: bidirected)
  7. Missing: 3 --- 8 (DAG: directed_ij)
  8. Wrong orientation: 3 --- 9 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 3 --- 12 (DAG: directed_ij, PAG: bidirected)
  10. Missing: 4 --- 10 (DAG: directed_ij)
  11. Missing: 5 --- 10 (DAG: directed_ij)
  12. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  13. Wrong orientation: 6 --- 11 (DAG: directed_ij, PAG: bidirected)
  14. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  15. Wrong orientation: 8 --- 9 (DAG: directed_ij, PAG: bidirected)
  16. Wrong orientation: 8 --- 12 (DAG: directed_ij, PAG: bidirected)
  17. Wrong orientation: 9 --- 10 (DAG: directed_ij, PAG: bidirected)
  18. Missing: 10 --- 13 (DAG: directed_ij)
Found 2 partial orientation differences:
  1. Partial orientation: 0 --- 6 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 5 --- 13 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/edge_comparison_baseline.txt
Found 8 differences:
  1. Extra: 0 --- 11 (PAG: partial_ij)
  2. Missing: 1 --- 4 (Reference PAG: bidirected)
  3. Extra: 1 --- 6 (PAG: partial_ij)
  4. Missing: 1 --- 7 (Reference PAG: bidirected)
  5. Missing: 2 --- 8 (Reference PAG: bidirected)
  6. Missing: 2 --- 11 (Reference PAG: bidirected)
  7. Extra: 5 --- 10 (PAG: bidirected)
  8. Extra: 10 --- 11 (PAG: bidirected)
Found 1 partial orientation differences:
  1. Partial orientation: 5 --- 13 (Reference PAG: partial_ij, PAG: bidirected)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_14_shallow_mlp_align/1/baseline_graph_adj.npy
