=== [Causal Discovery] Fold 2 (2/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/metadata.json
CI(0, 1 | ()) p=0.3246 -> indep=True
CI(1, 6 | (5,)) p=3.595e-05 -> indep=False
CI(5, 6 | (1,)) p=0.009627 -> indep=False
CI(3, 7 | (6,)) p=0.0001517 -> indep=False
CI(6, 7 | (3,)) p=6.892e-07 -> indep=False
CI(6, 8 | (7,)) p=0.09256 -> indep=True
CI(2, 10 | (8,)) p=0 -> indep=False
CI(2, 10 | (6,)) p=0 -> indep=False
CI(2, 10 | (7,)) p=0 -> indep=False
CI(6, 10 | (8,)) p=0.008291 -> indep=False
CI(6, 10 | (2,)) p=0.007119 -> indep=False
CI(6, 10 | (7,)) p=0.5906 -> indep=True
CI(7, 10 | (8,)) p=1.946e-12 -> indep=False
CI(7, 10 | (2,)) p=0 -> indep=False
CI(8, 10 | (2,)) p=6.572e-12 -> indep=False
CI(8, 10 | (7,)) p=0.1475 -> indep=True
CI(4, 11 | (8,)) p=0 -> indep=False
CI(4, 11 | (10,)) p=2.109e-15 -> indep=False
CI(4, 11 | (7,)) p=4.441e-16 -> indep=False
CI(7, 11 | (8,)) p=0.4829 -> indep=True
CI(8, 11 | (10,)) p=1.11e-16 -> indep=False
CI(8, 11 | (4,)) p=0 -> indep=False
CI(10, 11 | (8,)) p=0.2941 -> indep=True
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/learned_graph_adj.npy
CI(0, 1 | ()) p=0.1012 -> indep=True
CI(0, 2 | ()) p=0.9141 -> indep=True
CI(1, 2 | ()) p=0.09299 -> indep=True
CI(0, 3 | ()) p=0.546 -> indep=True
CI(1, 3 | ()) p=0.02534 -> indep=True
CI(2, 3 | ()) p=0.3645 -> indep=True
CI(0, 4 | ()) p=0.4213 -> indep=True
CI(1, 4 | ()) p=0.01689 -> indep=True
CI(2, 4 | ()) p=0.5922 -> indep=True
CI(3, 4 | ()) p=0.132 -> indep=True
CI(0, 5 | ()) p=2.457e-05 -> indep=False
CI(1, 5 | ()) p=0.4963 -> indep=True
CI(2, 5 | ()) p=0.4094 -> indep=True
CI(3, 5 | ()) p=0.07043 -> indep=True
CI(4, 5 | ()) p=0.372 -> indep=True
CI(0, 6 | ()) p=0.1812 -> indep=True
CI(1, 6 | ()) p=1.896e-08 -> indep=False
CI(2, 6 | ()) p=0.1075 -> indep=True
CI(3, 6 | ()) p=0.1801 -> indep=True
CI(4, 6 | ()) p=0.6908 -> indep=True
CI(5, 6 | ()) p=1.735e-06 -> indep=False
CI(0, 7 | ()) p=0.3816 -> indep=True
CI(1, 7 | ()) p=0.02815 -> indep=True
CI(2, 7 | ()) p=0.1628 -> indep=True
CI(3, 7 | ()) p=5.054e-07 -> indep=False
CI(4, 7 | ()) p=0.3436 -> indep=True
CI(5, 7 | ()) p=0.01599 -> indep=True
CI(6, 7 | ()) p=1.692e-12 -> indep=False
CI(0, 8 | ()) p=0.6618 -> indep=True
CI(1, 8 | ()) p=0.00411 -> indep=False
CI(2, 8 | ()) p=0.4064 -> indep=True
CI(3, 8 | ()) p=0.1001 -> indep=True
CI(4, 8 | ()) p=0.3311 -> indep=True
CI(5, 8 | ()) p=0.7394 -> indep=True
CI(6, 8 | ()) p=6.351e-05 -> indep=False
CI(7, 8 | ()) p=1.056e-05 -> indep=False
CI(0, 9 | ()) p=0.01016 -> indep=True
CI(1, 9 | ()) p=0.9129 -> indep=True
CI(2, 9 | ()) p=0.8759 -> indep=True
CI(3, 9 | ()) p=0.7504 -> indep=True
CI(4, 9 | ()) p=0.485 -> indep=True
CI(5, 9 | ()) p=0.349 -> indep=True
CI(6, 9 | ()) p=0.6602 -> indep=True
CI(7, 9 | ()) p=0.7571 -> indep=True
CI(8, 9 | ()) p=0.1877 -> indep=True
CI(0, 10 | ()) p=0.808 -> indep=True
CI(1, 10 | ()) p=0.7045 -> indep=True
CI(2, 10 | ()) p=0.03596 -> indep=True
CI(3, 10 | ()) p=0.6528 -> indep=True
CI(4, 10 | ()) p=0.2288 -> indep=True
CI(5, 10 | ()) p=0.5429 -> indep=True
CI(6, 10 | ()) p=0.5077 -> indep=True
CI(7, 10 | ()) p=0.01308 -> indep=True
CI(8, 10 | ()) p=0.6163 -> indep=True
CI(9, 10 | ()) p=0.7232 -> indep=True
CI(0, 11 | ()) p=0.429 -> indep=True
CI(1, 11 | ()) p=0.6369 -> indep=True
CI(2, 11 | ()) p=0.8022 -> indep=True
CI(3, 11 | ()) p=0.6193 -> indep=True
CI(4, 11 | ()) p=0.0001824 -> indep=False
CI(5, 11 | ()) p=0.7282 -> indep=True
CI(6, 11 | ()) p=0.3927 -> indep=True
CI(7, 11 | ()) p=0.1559 -> indep=True
CI(8, 11 | ()) p=0.0001082 -> indep=False
CI(9, 11 | ()) p=0.3428 -> indep=True
CI(10, 11 | ()) p=0.3281 -> indep=True
CI(1, 6 | (5,)) p=5.101e-08 -> indep=False
CI(5, 6 | (1,)) p=4.389e-06 -> indep=False
CI(3, 7 | (6,)) p=3.318e-06 -> indep=False
CI(6, 7 | (3,)) p=5.467e-11 -> indep=False
CI(1, 8 | (6,)) p=0.1905 -> indep=True
CI(6, 8 | (7,)) p=0.1481 -> indep=True
CI(4, 11 | (8,)) p=2.088e-05 -> indep=False
CI(8, 11 | (4,)) p=2.1e-06 -> indep=False
Saved metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/performance_metrics.json
Saved baseline metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/pag_vs_pag_metrics.json
Found 8 differences:
  1. Missing: 0 --- 5 (DAG: directed_ij)
  2. Missing: 1 --- 5 (DAG: directed_ij)
  3. Missing: 2 --- 7 (DAG: directed_ij)
  4. Missing: 3 --- 8 (DAG: directed_ij)
  5. Missing: 5 --- 9 (DAG: directed_ij)
  6. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  7. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  8. Wrong orientation: 7 --- 10 (DAG: directed_ij, PAG: bidirected)
Found 6 partial orientation differences:
  1. Partial orientation: 0 --- 9 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 2 --- 10 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 3 --- 7 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
  6. Partial orientation: 5 --- 6 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/edge_comparison.txt
Found 11 differences:
  1. Missing: 0 --- 9 (DAG: directed_ij)
  2. Missing: 1 --- 5 (DAG: directed_ij)
  3. Missing: 2 --- 7 (DAG: directed_ij)
  4. Missing: 2 --- 10 (DAG: directed_ij)
  5. Missing: 3 --- 8 (DAG: directed_ij)
  6. Wrong orientation: 5 --- 6 (DAG: directed_ij, PAG: bidirected)
  7. Missing: 5 --- 9 (DAG: directed_ij)
  8. Wrong orientation: 6 --- 7 (DAG: directed_ij, PAG: bidirected)
  9. Wrong orientation: 7 --- 8 (DAG: directed_ij, PAG: bidirected)
  10. Missing: 7 --- 10 (DAG: directed_ij)
  11. Wrong orientation: 8 --- 11 (DAG: directed_ij, PAG: bidirected)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 1 --- 6 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 3 --- 7 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 4 --- 11 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/edge_comparison_baseline.txt
Found 5 differences:
  1. Missing: 0 --- 5 (Reference PAG: partial_ij)
  2. Extra: 0 --- 9 (PAG: partial_ij)
  3. Extra: 2 --- 10 (PAG: partial_ij)
  4. Extra: 7 --- 10 (PAG: bidirected)
  5. Wrong orientation: 8 --- 11 (Reference PAG: bidirected, PAG: directed_ij)
Found 1 partial orientation differences:
  1. Partial orientation: 5 --- 6 (Reference PAG: bidirected, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/pag_vs_dag.png
Saved baseline figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/layered_sparse_nonlinear_sem_nodes_12_shallow_mlp_align/2/baseline_graph_adj.npy
