=== [Causal Discovery] Fold 3 (3/5) ===
Step: load extraction data
Loading extraction data from: outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/alignment_results.csv
Step: prepare ground-truth data
Running sample_150__baseline_150
Saved metadata to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/metadata.json
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.13650843054194062
Test:  CI( 3 , 5 | (0,) ) = 0.9009656109743043
Test:  CI( 4 , 5 | (0,) ) = 0.0
Test:  CI( 4 , 5 | (1,) ) = 0.0865671068324485
Test:  CI( 0 , 6 | (1,) ) = 1.709743457922741e-14
Test:  CI( 0 , 6 | (2,) ) = 0.0
Test:  CI( 0 , 6 | (3,) ) = 1.1612932837579137e-13
Test:  CI( 0 , 6 | (4,) ) = 3.1308289294429414e-14
Test:  CI( 0 , 6 | (5,) ) = 2.7747601905048214e-07
Test:  CI( 1 , 6 | (0,) ) = 0.031657321125189375
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 4.418707655329257e-07
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 2.3363977419421644e-11
Test:  CI( 4 , 6 | (0,) ) = 0.0
Test:  CI( 4 , 6 | (2,) ) = 0.0010702294559310488
Test:  CI( 4 , 6 | (3,) ) = 0.0
Test:  CI( 4 , 6 | (5,) ) = 0.0
Test:  CI( 5 , 6 | (0,) ) = 0.10571718460132251
Test:  CI( 0 , 6 | (2, 3) ) = 0.03365244698295844
Test:  CI( 2 , 6 | (0, 3) ) = 0.0
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Test:  CI( 4 , 6 | (0, 2) ) = 0.2760289067262276
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/learned_graph_adj.npy
Test:  CI( 0 , 1 | () ) = 0.0
Test:  CI( 0 , 2 | () ) = 0.0
Test:  CI( 1 , 2 | () ) = 0.0
Test:  CI( 0 , 3 | () ) = 0.0
Test:  CI( 1 , 3 | () ) = 0.0
Test:  CI( 2 , 3 | () ) = 0.0
Test:  CI( 0 , 4 | () ) = 0.0
Test:  CI( 1 , 4 | () ) = 0.0
Test:  CI( 2 , 4 | () ) = 0.0
Test:  CI( 3 , 4 | () ) = 0.0
Test:  CI( 0 , 5 | () ) = 0.0
Test:  CI( 1 , 5 | () ) = 0.0
Test:  CI( 2 , 5 | () ) = 0.0
Test:  CI( 3 , 5 | () ) = 0.0
Test:  CI( 4 , 5 | () ) = 0.0
Test:  CI( 0 , 6 | () ) = 0.0
Test:  CI( 1 , 6 | () ) = 0.0
Test:  CI( 2 , 6 | () ) = 0.0
Test:  CI( 3 , 6 | () ) = 0.0
Test:  CI( 4 , 6 | () ) = 0.0
Test:  CI( 5 , 6 | () ) = 0.0
Test:  CI( 0 , 2 | (1,) ) = 1.9539925233402755e-14
Test:  CI( 1 , 2 | (0,) ) = 0.48870416797110505
Test:  CI( 0 , 3 | (1,) ) = 0.0
Test:  CI( 0 , 3 | (2,) ) = 0.0
Test:  CI( 1 , 3 | (0,) ) = 0.9612516735480372
Test:  CI( 2 , 3 | (0,) ) = 0.5446593250018088
Test:  CI( 0 , 4 | (1,) ) = 0.7092967332136195
Test:  CI( 1 , 4 | (2,) ) = 0.0
Test:  CI( 1 , 4 | (3,) ) = 0.0
Test:  CI( 2 , 4 | (1,) ) = 0.0
Test:  CI( 2 , 4 | (3,) ) = 0.0
Test:  CI( 3 , 4 | (1,) ) = 0.5298140938967619
Test:  CI( 0 , 5 | (1,) ) = 0.0
Test:  CI( 0 , 5 | (2,) ) = 0.0
Test:  CI( 0 , 5 | (3,) ) = 0.0
Test:  CI( 0 , 5 | (4,) ) = 0.0
Test:  CI( 1 , 5 | (0,) ) = 0.0
Test:  CI( 1 , 5 | (2,) ) = 0.0
Test:  CI( 1 , 5 | (3,) ) = 0.0
Test:  CI( 1 , 5 | (4,) ) = 0.0
Test:  CI( 2 , 5 | (0,) ) = 0.22069913951890197
Test:  CI( 3 , 5 | (0,) ) = 0.4740096719706468
Test:  CI( 4 , 5 | (0,) ) = 2.220446049250313e-16
Test:  CI( 4 , 5 | (1,) ) = 0.9327328263316088
Test:  CI( 0 , 6 | (1,) ) = 0.0
Test:  CI( 0 , 6 | (2,) ) = 5.595524044110789e-14
Test:  CI( 0 , 6 | (3,) ) = 1.674216321134736e-12
Test:  CI( 0 , 6 | (4,) ) = 0.0
Test:  CI( 0 , 6 | (5,) ) = 1.5543122344752192e-15
Test:  CI( 1 , 6 | (0,) ) = 0.7103977400324417
Test:  CI( 2 , 6 | (0,) ) = 0.0
Test:  CI( 2 , 6 | (3,) ) = 0.0
Test:  CI( 2 , 6 | (4,) ) = 0.0
Test:  CI( 2 , 6 | (5,) ) = 0.0
Test:  CI( 3 , 6 | (0,) ) = 2.131372258462605e-06
Test:  CI( 3 , 6 | (2,) ) = 0.0
Test:  CI( 3 , 6 | (4,) ) = 0.0
Test:  CI( 3 , 6 | (5,) ) = 6.439293542825908e-15
Test:  CI( 4 , 6 | (0,) ) = 2.5508663181739166e-07
Test:  CI( 4 , 6 | (2,) ) = 0.01373953095302305
Test:  CI( 5 , 6 | (0,) ) = 0.25867442344122926
Test:  CI( 3 , 6 | (0, 2) ) = 0.0
Saved metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/performance_metrics.json
Saved baseline metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/baseline_performance_metrics.json
Saved PAG-vs-PAG metrics to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/pag_vs_pag_metrics.json
Found 2 differences:
  1. Missing: 0 --- 4 (DAG: directed_ij)
  2. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
Found 5 partial orientation differences:
  1. Partial orientation: 0 --- 1 (DAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (DAG: directed_ij, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (DAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (DAG: directed_ij, PAG: partial_ij)
  5. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/edge_comparison.txt
Found 5 differences:
  1. Wrong orientation: 0 --- 2 (DAG: directed_ij, PAG: bidirected)
  2. Missing: 0 --- 4 (DAG: directed_ij)
  3. Extra: 0 --- 6 (PAG: bidirected)
  4. Wrong orientation: 2 --- 4 (DAG: directed_ij, PAG: bidirected)
  5. Wrong orientation: 3 --- 6 (DAG: directed_ij, PAG: bidirected)
Found 1 partial orientation differences:
  1. Partial orientation: 1 --- 5 (DAG: directed_ij, PAG: partial_ij)
Saved baseline edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/edge_comparison_baseline.txt
Found 2 differences:
  1. Missing: 0 --- 6 (Reference PAG: bidirected)
  2. Wrong orientation: 3 --- 6 (Reference PAG: bidirected, PAG: directed_ij)
Found 4 partial orientation differences:
  1. Partial orientation: 0 --- 1 (Reference PAG: directed_ij, PAG: partial_ij)
  2. Partial orientation: 0 --- 2 (Reference PAG: bidirected, PAG: partial_ij)
  3. Partial orientation: 0 --- 3 (Reference PAG: directed_ij, PAG: partial_ij)
  4. Partial orientation: 0 --- 5 (Reference PAG: directed_ij, PAG: partial_ij)
Saved PAG-vs-PAG edge comparison details to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/edge_comparison_pag_vs_pag.txt
Saved figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/pag_vs_dag.png
Saved baseline figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/baseline_pag_vs_dag.png
Saved combined DAG comparison to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/pags_vs_dag.png
Saved PAG-vs-PAG figure to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/pag_vs_pag.png
Saved adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/learned_graph_adj.npy
Saved baseline adjacency matrix to outputs/experiments/linear_sem_nodes_7_shallow_mlp_align/3/baseline_graph_adj.npy
